id,link,title,title_en,description_en,source
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,sunflower oil,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,onion,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,celery,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,carrots,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,split peas,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,dried mixed herbs,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,gammon,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,black pepper,bbc
1,https://www.bbc.co.uk/food/recipes/slow_cooker_pea_and_ham_35045,Slow cooker pea and ham soup,Slow cooker pea and ham soup,parsley,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,olive oil,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,garlic,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,courgettes,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,dried chilli,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,rigatoni,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,halloumi,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,honey,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,mint,bbc
2,https://www.bbc.co.uk/food/recipes/courgette_rigatoni_with_86924,Courgette rigatoni with crispy halloumi,Courgette rigatoni with crispy halloumi,black pepper,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,onions,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,celery,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,dried apricots,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,breadcrumbs,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,butter,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,chestnuts,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,parsley,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,thyme,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,salt,bbc
3,https://www.bbc.co.uk/food/recipes/christmasapricotandc_73428,Chestnut stuffing,Chestnut stuffing,black pepper,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,orzo,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,chicken breasts,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,olive oil,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,butter,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,onion,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,chestnut,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,white wine,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,garlic,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,spinach,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,soured cream,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,Parmesan,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,lemon juice,bbc
4,https://www.bbc.co.uk/food/recipes/amalfi_chicken_orzo_65081,Creamy chicken orzo,Creamy chicken orzo,black pepper,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,butter,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,tarragon,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,lemon,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,garlic,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,chicken,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,black pepper,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,olive oil,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,onion,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,garlic,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,chestnuts,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,apricots,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,sage,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,sausagemeat,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,wholemeal breadcrumbs,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,egg,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,breadcrumbs,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,plain flour,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,red wine,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,chicken stock,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,gravy,bbc
5,https://www.bbc.co.uk/food/recipes/lemon_and_tarragon_roast_19808,Lemon and tarragon roast chicken,Lemon and tarragon roast chicken,redcurrant jelly,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,mixed nuts,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,vegetable stock,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,olive oil,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,onion,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,celery,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,leek,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,carrots,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,garlic,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,cashew,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,chestnuts,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,cranberries,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,parsley,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,lemon,bbc
6,https://www.bbc.co.uk/food/recipes/vegan_nut_loaf_99997,Perfect nut roast,Perfect nut roast,sea salt,bbc
